Patientnumber,Gender,Age,Weight,BCS,Sxleg,TPA,IOS,IOA,PreOA,PostOA,PreG,PreE,PreOS,PreM,PostG,PostE,PostOs,PostM,Plate,Type,Meniscus,PRP,MlPRP,Nocita,Icomp,Hosp,Antibiotic,Increcheck,Lamerecheck,Comprecheck,Polame, Osteotomy,CompPO,Incinfection,Explant,Reop,Bilateral
307122,MN,7,17,5,R,28,MO,,3,3,1,2,1,0,1,1,1,0,3.5,M,I,N,,N,N,1,N,R,2,N,1,Y,N,N,N,N,N
327230,FS,1,17.4,5,L,26,M,M,2,2,1,1,1,0,1,1,1,1,3.5,M,I,N,,Y,Y,1,N,N,2,N,0,Y,N,N,N,N,N
338296,MN,11,14,5,L,31,MO,,2,3,1,1,0,0,1,2,1,1,3.5,M,T,N,,Y,Y,1,N,N,1,N,0,Y,N,N,N,N,N
337915,FS,2,22,5,R,31,MO,M,2,2,1,2,1,0,1,2,1,0,3.5,S,T,N,,Y,N,1,Y,I,1,Y,0,Y,N,Y,N,N,N
348153,FS,4,44,6,R,27,,M,2,,1,2,1,1,,,,,3.5,B,I,N,,Y,N,1,N,R,2,N,0,,,N,N,N,N
336415,FS,1,27,6,R,30,MO,MO,2,2,1,2,1,1,1,2,1,1,3.5,M,I,N,,Y,N,1,N,N,1,N,0,N,N,N,N,N,Y
336415,FS,2,28,6,L,30,S,MO,2,2,1,2,1,1,1,2,1,2,3.5,S,I,N,,Y,N,1,N,N,2,N,0,Y,N,N,N,N,Y
326077,FS,6,19.6,5,R,27,M,MO,3,3,1,2,1,0,1,1,1,0,3.5,M,I,N,,Y,N,1,N,N,2,N,0,N,Y,N,N,N,Y
326077,FS,7,19,5,L,27,M,MO,3,3,1,1,1,1,1,1,1,1,3.5,M,I,N,,Y,N,1,N,R,1,N,0,N,N,N,N,N,Y
317942,FS,2,25.1,5,R,25,M,,2,2,1,2,1,0,1,2,1,0,3.5,S,I,N,,Y,N,1,N,N,2,N,0,Y,N,N,N,N,Y
317942,FS,2,25.6,5,L,26,M,,3,3,1,2,1,0,1,2,1,1,3.5,S,I,N,,Y,N,1,N,N,2,N,0,N,N,N,N,N,Y
261836,MN,7,30.2,6,R,25,M,MO,4,4,2,2,2,0,2,2,2,0,3.5,M,T,N,,Y,N,1,Y,I,2,Y,1,N,Y,Y,N,N,Y
261836,MN,7,31.8,6,L,25,M,MO,3,4,1,1,1,1,2,2,2,0,3.5,M,I,N,,Y,N,1,Y,R,2,N,0,N,N,N,N,N,Y
339139,FS,6,27,5,R,28,S,MO,3,4,1,2,1,1,1,2,2,1,3.5,S,I,N,,Y,N,1,Y,N,2,N,1,Y,N,N,N,N,N
340821,FS,3,27.8,6,R,29,M,,3,3,1,1,1,0,1,1,1,0,3.5,S,I,N,,Y,N,1,N,N,1,N,0,Y,N,N,N,N,N
337067,MN,2,25.2,5,R,28,M,M,2,2,1,2,1,0,1,1,1,1,3.5,S,T,N,,Y,N,1,N,S,1,Y,0,Y,N,N,N,N,Y
337067,MN,2,27,5,L,28,M,M,2,2,1,2,1,1,1,1,1,1,3.5,S,T,N,,Y,N,1,N,I,2,Y,0,Y,N,Y,N,N,Y
334948,MN,7,37.6,7,L,29,M,S,2,2,1,1,1,0,1,1,1,0,3.5,B,T,N,,Y,N,1,N,R,2,N,0,N,N,N,N,N,N
335944,MN,10,32.6,6,R,29,M,,2,2,1,1,1,0,1,1,1,0,3.5,S,T,N,,Y,N,1,N,N,1,N,1,N,N,N,N,N,Y
335944,MN,10,32,6,L,29,M,,2,2,1,1,1,0,1,1,1,0,3.5,S,T,N,,Y,N,1,N,N,2,N,0,N,N,N,N,N,Y
345284,FS,13,21.2,5,R,28,M,,2,2,1,1,1,0,1,1,1,0,3.5,S,T,N,,Y,N,1,N,R,2,N,0,N,N,N,N,N,N
32004,MN,5,34,7,R,30,,,2,2,1,2,1,1,1,2,1,1,3.5,S,I,N,,N,N,1,N,S,1,N,0,N,N,N,N,N,Y
32004,MN,5,35,7,L,31,M,,3,3,2,2,2,1,2,2,2,2,3.5,S,I,N,,Y,N,1,N,S,1,N,1,N,Y,N,N,N,Y
321261,MN,7,21.3,6,L,24,MO,MO,2,2,1,2,1,1,1,2,1,1,3.5,M,I,N,,N,N,1,Y,R,1,Y,1,Y,N,N,N,N,Y
321261,MN,8,22.6,6,R,23,,,1,1,1,1,0,1,1,1,0,1,3.5,M,I,N,,Y,N,1,N,N,1,N,0,N,N,N,N,N,Y
46776,MN,5,31,5,L,28,M,,1,,1,2,1,1,,,,,3.5,S,I,N,,Y,N,1,N,N,2,N,1,,N,N,N,N,N
312876,FS,4,34.6,5,R,26,MO,MO,2,3,1,1,1,1,2,2,2,1,3.5,M,I,N,,Y,Y,1,N,N,1,N,1,N ,N,N,N,N,N
314678,FS,4,23,5,L,26,M,,2,2,1,2,1,0,1,1,1,0,3.5,S,T,N,,N,N,1,N,N,2,N,1,N,Y,Y,N,N,Y
314678,FS,6,23.8,5,R,27,MO,MO,1,,1,2,1,0,,,,,3.5,M,T,N,,Y,N,1,N,R,2,Y,,,N,N,N,N,Y
328072,MN,1,24,5,R,30,M,M,1,1,1,2,0,0,1,1,0,0,3.5,S,T,N,,Y,N,1,N,N,2,Y,1,Y,N,Y,N,N,Y
332937,MN,2,33.4,5,R,29,M,MO,1,,1,2,1,0,,,,,3.5,S,I,N,,N,N,1,Y,S,2,Y,,,Y,Y,N,N,Y
332937,MN,2,33.4,5,L,28,M,,1,,1,2,1,0,,,,,3.5,S,I,N,,N,N,1,Y,S,2,N,,,,N,N,N,Y
338077,MN,2,34.4,5,R,30,M,MO,2,,1,2,2,1,,,,,3.5,S,I,N,,Y,N,1,N,N,1,N,,,,N,N,N,N
340470,FS,4,24.6,5,L,27,M,MO,2,2,2,2,2,0,2,1,2,1,3.5,M,T,N,,Y,N,1,N,S,1,N,0,N,N,N,N,N,Y
4093,MN,9,34.2,5,L,30,M,,3,3,1,1,1,0,1,1,1,0,3.5,S,I,N,,Y,N,1,Y,S,2,N,0,N,N,N,N,N,N
339295,MI,1,44.5,5,L,26,M,,0,0,1,1,0,0,1,1,0,0,3.5,B,I,N,,N,N,1,Y,N,1,N,0,Y,Y,N,N,N,Y
339295,MI,1,43,5,R,27,MO,,1,,1,1,1,0,,,,,3.5,B,I,N,,Y,N,1,Y,N,2,N,,,,N,N,N,Y
316437,MN,7,32.2,6,R,26,M,MO,4,4,2,2,2,0,2,2,2,0,3.5,S,I,N,,Y,N,1,Y,S,2,N,1,N,N,N,N,N,N
40330,FS,6,48,5,R,28,S,S,4,4,2,2,2,0,2,2,2,0,3.5,B,I,N,,Y,N,1,N,N,2,N,0,N,N,N,N,N,Y
45041,FS,3,33.4,5,L,28,M,M,4,4,2,2,2,0,2,2,2,0,3.5,S,I,N,,N,N,1,N,S,2,N,1,Y,Y,N,N,N,Y
222130,FS,9,29.6,5,R,30,MO,,2,,2,2,1,1,,,,,3.5,S,T,N,,N,N,1,N,N,3,N,,,,N,N,N,Y
222130,FS,10,30.8,5,L,32,M,MO,3,3,2,2,1,1,2,2,1,2,3.5,S,I,N,,Y,N,1,N,N,2,N,2,Y,Y,N,N,N,Y
344358,MN,8,38.8,5,L,28,M,,3,3,1,1,1,0,1,1,1,0,3.5,S,T,N,,N,N,1,N,R,2,N,2,Y,Y,N,N,N,N
342339,FS,11,39,5,L,28,M,,2,,2,2,2,1,,,,,3.5,S,T,N,,Y,N,1,N,S,2,N,,,,N,N,N,N
337772,MN,7,37.2,5,R,27,,MO,4,4,2,2,2,1,2,1,2,1,3.5,M,I,N,,Y,N,1,N,S,2,N,1,Y,Y,Y,N,N,N
334411,FS,10,28,5,R,32,,MO,4,4,2,2,2,0,2,2,2,0,3.5,S,I,N,,Y,N,1,Y,N,3,N,1,Y,Y,Y,Y,Y,Y
38400,FS,8,29.6,5,L,,,,3,3,2,2,2,1,2,1,2,1,3.5,S,,N,,N,,1,N,,,,,,,Y,Y,Y,N
321827,MN,5,25.8,5,L,32,,,1,1,1,1,0,0,1,1,0,1,3.5,S,I,N,,N,N,1,Y,S,3,N,2,Y,Y,N,N,N,N
332686,MN,6,26,5,L,26,M,,,,,,,,,,,,3.5,S,I,N,,Y,N,1,N,N,1,N,,,,N,N,N,N
252456,FI,7,26.2,7,R,27,M,MO,1,,1,1,1,0,,,,,3.5,M,T,N,,N,N,1,N,N,2,N,1,,Y,Y,N,N,N
332019,MN,7,12.8,5,L,28,,,1,,1,1,1,0,,,,,2.7,S,I,N,,N,N,1,N,N,2,N,,,,N,N,N,N
250910,FS,10,29.2,6,L,24,S,,1,3,1,1,0,0,1,1,3,0,3.5,S,I,N,,N,N,1,N,N,3,N,0,N,N,N,N,N,N
348037,FS,6,20.2,4,R,25,MO,MO,2,2,1,2,1,1,1,2,1,1,3.5,M,T,N,,Y,N,1,N,N,1,N,1,N,N,N,N,N,N
340637,MN,4,33.2,5,L,27,,,2,2,1,1,1,0,1,1,1,0,3.5,S,I,Y,,N,N,1,N,R,2,Y,0,Y,Y,Y,N,N,N
348120,FS,5,17,4,L,30,M,S,4,4,2,2,2,0,2,2,2,0,3.5,M,T,Y,2,Y,N,1,N,N,1,N,0,Y,Y,Y,N,N,Y
348120,FS,5,16.4,4,R,29,MO,S,2,2,2,2,1,1,2,1,1,1,3.5,M,T,N,1,Y,N,1,N,N,1,N,0,Y,N,N,N,N,Y
348038,FS,2,19,4,L,34,MO,MO,4,4,2,2,2,0,2,2,2,1,3.5,S,I,Y,1,Y,N,1,N,N,2,N,0,Y,N,N,N,N,Y
348038,FS,2,19.6,4,R,35,MO,MO,4,4,2,2,2,0,2,2,2,1,3.5,S,I,Y,2,Y,N,1,N,R,2,Y,0,Y,N,N,N,N,Y
337580,MN,5,52,5,R,26,,,3,3,2,2,2,0,2,2,2,0,3.5,B,T,Y,3,Y,N,1,N,N,1,N,0,Y,N,N,N,N,N
252508,MN,11,43,6,L,24,,,3,4,1,2,1,0,2,1,2,1,3.5,B,I,Y,2,Y,N,1,N,N,1,N,2,Y,Y,N,Y,Y,N
331395,FS,8,32.6,5,R,28,,,3,3,1,2,1,0,1,2,1,0,3.5,B,T,Y,2,N,N,1,N,N,2,N,0,N,N,N,N,N,N
336998,MN,3,37.2,7,L,23,M,M,3,4,1,1,1,0,2,2,2,1,3.5,S,I,Y,2,Y,N,1,N,N,1,N,0,Y,Y,Y,Y,Y,Y
336998,MN,4,36.2,7,R,25,M,M,3,4,1,1,1,0,3,3,2,1,3.5,S,I,N,,N,N,1,Y,N,2,N,0,Y,N,N,N,N,Y
7811,MN,5,48,5,L,30,,,3,4,1,2,1,0,1,2,2,0,3.5,B,T,Y,2,Y,N,1,N,S,2,N,0,Y,N,N,N,N,N
316922,FS,3,29,5,R,33,,,3,3,1,2,1,0,1,2,1,0,3.5,B,I,Y,2,N,N,1,N,N,2,N,0,Y,N,Y,Y,Y,N
24810,MN,6,29.6,6,R,28,,,3,3,2,2,2,0,2,2,2,1,3.5,B,I,Y,2,N,N,1,N,S,2,N,0,Y,N,N,N,N,Y
24810,MN,8,28.6,6,L,27,,,3,3,2,2,2,0,3,3,2,1,3.5,S,I,N,,Y,N,1,Y,N,2,N,1,Y,N,N,N,N,Y
339678,MN,6,18.6,4,L,28,,,2,2,1,1,1,0,1,1,1,0,3.5,S,T,Y,2,N,N,1,Y,N,3,N,1,Y,Y,N,N,N,N
321826,FS,6,22.6,5,R,28,MO,MO,2,2,1,2,1,0,1,1,1,0,3.5,S,I,Y,2,N,N,1,Y,S,1,N,0,Y,N,N,N,N,Y
321826,FS,7,22,5,L,28,MO,MO,2,,1,2,1,0,,,,,3.5,S,I,Y,2,Y,N,1,Y,N,1,N,,,N,N,N,N,Y
320796,FS,5,46,6,L,29,,,3,,3,2,3,1,,,,,3.5,B,T,Y,3,N,N,1,N,R,1,N,,,N,N,N,N,N
331392,FS,4,29,6,R,27,,,1,1,1,1,0,0,1,1,0,0,3.5,S,I,Y,3,Y,N,1,N,N,1,Y,0,Y,Y,Y,Y,Y,N
346162,FS,6,32.4,5,L,28,MO,MO,2,2,1,2,1,0,1,1,1,0,3.5,M,I,Y,3,N,Y,1,N,D,1,Y,1,N,Y,N,N,N,N
345566,FS,6,29,5,L,28,MO,MO,1,1,1,2,1,0,1,2,1,0,3.5,S,T,Y,3,N,N,1,N,R,2,N,3,Y,Y,N,Y,Y,N
8234,MN,10,25,5,R,28,M,M,4,4,2,2,2,0,2,2,2,0,3.5,S,I,Y,2,N,N,1,Y,N,1,N,0,Y,N,N,N,N,N
234137,MN,7,37.8,7,R,24,MO,MO,3,3,1,2,1,0,1,2,1,0,3.5,B,I,Y,2,N,Y,1,Y,N,2,N,1,Y,Y,N,N,N,N
18417,FS,11,28.5,3,R,26,,,2,2,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,N,N,1,Y,N,1,N,1,N,Y,N,N,N,N
342035,MN,3,37.6,5,R,27,M,M,3,3,1,2,1,0,1,2,1,0,3.5,B,T,Y,2,Y,N,1,N,N,1,N,0,Y,N,N,N,N,Y
342035,MN,3,35.6,5,L,28,M,M,2,2,1,2,1,0,1,2,1,0,3.5,B,I,Y,2,Y,N,1,N,R,1,N,0,Y,Y,N,N,N,Y
336165,MN,8,29,6,R,30,M,M,1,1,1,1,0,0,1,1,0,0,3.5,S,T,Y,2.5,Y,N,1,N,N,1,N,0,Y,N,N,N,N,N
335365,MN,5,46,5,L,29,MO,MO,3,3,1,2,2,0,1,2,2,0,3.5,B,T,Y,2,Y,N,1,N,N,1,N,0,Y,N,N,N,N,N
329475,FS,11,32.8,5,R,28,,,3,3,1,2,1,0,1,2,1,0,3.5,S,T,Y,2,N,N,1,N,S,1,N,0,Y,N,N,N,N,N
335236,FS,10,33.6,5,L,30,,,2,2,1,1,1,0,1,1,1,0,3.5,S,I,Y,2.5,Y,N,1,N,N,1,N,0,Y,N,N,N,N,N
253443,FS,9,19.8,6,L,25,,,4,4,2,1,2,2,2,1,2,2,3.5,M,I,Y,2,N,N,1,N,N,1,N,0,Y,N,N,N,N,Y
253443,FS,10,19.8,6,R,25,,,4,4,2,1,2,1,2,2,2,1,3.5,M,I,Y,1.5,Y,N,1,N,N,1,N,0,Y,N,N,N,N,Y
344054,FS,5,27.2,5,R,26,,,4,,2,3,3,1,,,,,3.5,S,T,Y,2,N,N,1,N,S,4,Y,,,N,N,N,N,N
346699,MN,2,34.2,6,L,32,M,M,2,2,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,N,N,2,Y,N,1,N,0,Y,N,N,N,N,N
345876,FS,6,29,5,R,32,MO,MO,2,2,1,2,1,0,1,2,1,0,3.5,S,I,Y,3,N,N,1,N,N,1,N,0,Y,N,N,N,N,N
333382,FS,7,19.2,5,L,28,MO,MO,1,,1,3,1,0,,,,,3.5,S,T,Y,2,N,Y,1,N,,,,,,N,N,N,N,N
326009,FS,1,29.2,6,R,45,,,2,2,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,Y,N,1,Y,N,1,N,0,N,N,N,N,N,N
307046,MN,4,24.4,6,L,30,,,2,2,1,2,1,0,1,1,1,0,3.5,S,T,Y,2,N,N,1,N,N,3,N,1,Y,N,N,N,N,N
329911,FS,10,27.4,5,L,28,,,2,2,1,2,1,1,1,2,1,1,3.5,S,T,Y,2,N,Y,1,N,N,1,N,0,N,N,N,N,N,N
338982,MN,7,39.6,5,R,30,MO,MO,3,3,1,1,2,0,1,1,2,0,3.5,B,T,Y,2,N,N,1,Y,N,2,N,0,Y,N,N,N,N,N
308479,FS,2,26.4,5,L,30,,,2,,2,2,2,1,,,,,3.5,S,T,Y,2,N,N,1,N,N,1,N,,,N,N,N,N,N
336135,FS,9,29.8,5,R,29,MO,MO,4,4,2,2,2,1,2,2,2,1,3.5,S,T,Y,2,Y,Y,1,N,S,2,N,0,Y,N,N,N,N,N
33404,FS,5,40.4,5,R,30,,,3,3,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,Y,N,1,N,N,1,N,1,Y,N,N,N,N,N
340318,FS,5,28.4,5,R,29,,,3,3,1,2,1,1,1,2,1,1,3.5,S,I,Y,2,N,N,1,N,N,1,N,0,Y,N,N,N,N,N
233454,MN,7,30,5,L,29,MO,MO,3,3,1,1,1,0,1,1,1,0,3.5,S,T,Y,3,N,N,1,Y,N,1,N,0,Y,N,N,N,N,N
329264,FS,3,53,9,R,27,,,3,3,1,2,1,0,1,2,1,0,3.5,B,T,Y,2,N,N,1,N,N,1,N,0,Y,N,N,N,N,N
329674,MN,6,23.6,5,R,30,,,1,,1,2,2,0,,,,,3.5,S,T,Y,2,Y,N,1,N,N,2,N,,,N,N,N,N,N
26928,MN,4,31,6,R,23,M,M,2,2,1,1,0,0,0,2,0,1,3.5,S,I,Y,2,N,N,1,N,N,1,N,0,Y,N,N,N,N,N
336819,FS,7,27,5,L,27,,,1,,1,3,1,0,,,,,3.5,S,I,Y,2,Y,N,1,Y,N,1,N,,,,N,N,N,N
313951,MN,2,32.8,6,L,30,,,3,3,1,2,1,1,1,2,1,0,3.5,B,T,Y,2,N,Y,3,Y,N,3,Y,1,Y,N,N,N,N,N
341877,FS,9,26,5,R,28,,,2,1,2,2,2,1,1,1,1,0,3.5,S,I,Y,2,N,N,2,Y,N,0,N,0,Y,N,N,N,N,N
218322,FS,8,46.3,6,L,28,,,3,4,1,1,1,0,1,1,2,0,3.5,B,I,Y,2,N,N,1,Y,N,2,Y,1,N,Y,N,Y,Y,Y
218322,FS,9,46.6,6,R,28,,,3,3,1,1,1,0,1,2,1,0,3.5,B,T,Y,2,N,N,1,N,N,1,N,0,Y,Y,N,N,N,Y
35185,FS,6,26,5,R,29,MO,MO,3,3,1,2,1,0,1,2,1,0,3.5,S,I,Y,2,N,N,1,N,N,1,Y,0,N,N,N,N,N,Y
129185,FS,7,36.6,6,L,30,,,1,3,1,2,1,1,1,2,1,1,3.5,S,I,Y,2,N,N,2,Y,N,2,N,0,Y,N,N,N,N,N
235904,FS,6,35,7,L,30,,,3,3,2,2,2,1,2,2,2,1,3.5,S,T,Y,2,N,Y,1,Y,N,2,N,0,Y,N,N,N,N,N
33404,FS,2,46,7,L,32,MO,MO,3,3,1,1,1,0,1,1,1,1,3.5,S,I,Y,2,N,N,1,Y,N,1,N,0,Y,N,N,N,N,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,